Cup
t,x,y
0.000,108.9,-4.601
0.033,108.9,-6.135
0.067,108.3,-6.135
0.100,108.6,-8.895
0.133,108.9,-12.58
0.167,108.9,-16.87
0.200,109.2,-21.78
0.234,109.5,-27.61
0.267,109.2,-34.05
0.300,109.2,-41.71
0.334,108.9,-49.08
0.367,108.9,-57.66
0.400,109.2,-66.25
0.434,108.6,-75.15
0.467,108.6,-85.27
0.501,108.9,-96.01
0.534,108.6,-105.8
0.567,108.3,-116.6
0.601,108.3,-127.6
0.634,108.9,-138.6
0.667,108.9,-149.4
0.701,108.6,-161.3
0.734,108.6,-173.3
0.767,108.3,-185.3
0.801,108.3,-196.6
0.834,108.3,-208.9
0.868,108.9,-221.1
0.901,108.9,-231.0
